批次,发布日期,规则,规则分类,KP ID,药品名,拼音首字母,医保编码数,医保编码(全部),检测逻辑,逻辑依据,备注
第一批,2025-05-23,药品区分性别使用,医疗-药品,31287,益母草颗粒(无糖型),ymcklwtx,3,ZD01BAY0318010105764; ZD01BAY0318010205764; ZD01BAY0318010305764,与限定性别不符,活血调经。用于月经量少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31660,益母草流浸膏,ymcljg,14,ZD01BAY0320010100267; ZD01BAY0320010100974; ZD01BAY0320010101047; ZD01BAY0320010101073; ZD01BAY0320010102110; ZD01BAY0320010102118; ZD01BAY0320010102128; ZD01BAY0320010102131; ZD01BAY0320010102140; ZD01BAY0320010104584; ZD01BAY0320010104597; ZD01BAY0320010105083; ZD01BAY0320010205083; ZD01BAY0320020102118,与限定性别不符,本品用于活血调经。本品用于血瘀所致的月经不调，症见经水量少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31288,益母草片,ymcp,19,ZD01BAY0321010100294; ZD01BAY0321010100584; ZD01BAY0321010102020; ZD01BAY0321010102147; ZD01BAY0321010102303; ZD01BAY0321010105106; ZD01BAY0321010202020; ZD01BAY0321010202147; ZD01BAY0321010205106; ZD01BAY0321020100294; ZD01BAY0321020102147; ZD01BAY0321020102303; ZD01BAY0321020105106; ZD01BAY0321020105719; ZD01BAY0321020202147; ZD01BAY0321020405106; ZD01BAY0321020505106; ZD01BAY0321020605106; ZD01BAY0321030102147,与限定性别不符,活血调经。用于月经量少。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31661,益母草软胶囊,ymcrjn,8,ZD01BAY0322010100026; ZD01BAY0322010104728; ZD01BAY0322010200026; ZD01BAY0322010204728; ZD01BAY0322010300026; ZD01BAY0322010400026; ZD01BAY0322020101430; ZD01BAY0322020201430,与限定性别不符,本品用于活血调经。用于月经量少，产后腹痛。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31289,益母草注射液,ymczsy,4,ZD01BAY0323010102065; ZD01BAY0323020102065; ZD01BAY0323030102065; ZD01BAY0323030202065,与限定性别不符,子宫收缩药。用于止血调经。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31662,益母康颗粒,ymkkl,3,ZZ01AAY0324020102888; ZZ01AAY0324020202888; ZZ01AAY0324020302888,与限定性别不符,益气养血，通络下乳。本品适用于产后缺乳。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31663,益母颗粒,ymkl,28,ZD01BAY0325010101143; ZD01BAY0325010102135; ZD01BAY0325010103022; ZD01BAY0325010103082; ZD01BAY0325010103389; ZD01BAY0325010103425; ZD01BAY0325010103546; ZD01BAY0325010103594; ZD01BAY0325010104066; ZD01BAY0325010104201; ZD01BAY0325010104564; ZD01BAY0325010105046; ZD01BAY0325010105615; ZD01BAY0325010105856; ZD01BAY0325010105892; ZD01BAY0325010203022; ZD01BAY0325010203082; ZD01BAY0325010203594; ZD01BAY0325010204066; ZD01BAY0325010205046; ZD01BAY0325010205615; ZD01BAY0325010303022; ZD01BAY0325010304066; ZD01BAY0325010305615; ZD01BAY0325020103022; ZD01BAY0325020103389; ZD01BAY0325020403022; ZD01BAY0325030102135,与限定性别不符,活血调经，行气止痛。用于气滞血瘀所致月经不调，痛经。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31664,益母丸,ymw,27,ZD01BAY0327010100166; ZD01BAY0327010100220; ZD01BAY0327010100311; ZD01BAY0327010101343; ZD01BAY0327010102039; ZD01BAY0327010102410; ZD01BAY0327010102458; ZD01BAY0327010102533; ZD01BAY0327010102816; ZD01BAY0327010103052; ZD01BAY0327010103285; ZD01BAY0327010103355; ZD01BAY0327010103407; ZD01BAY0327010103709; ZD01BAY0327010103969; ZD01BAY0327010104082; ZD01BAY0327010105015; ZD01BAY0327010105152; ZD01BAY0327010105156; ZD01BAY0327010105184; ZD01BAY0327010105270; ZD01BAY0327010105288; ZD01BAY0327010105856; ZD01BAY0327010106014; ZD01BAY0327020100256; ZD01BAY0327020102816; ZD01BAY0327020105288,与限定性别不符,调经养血，化瘀生新。用于气逆血滞，血亏血寒引起：经期不准，腹痛白带，腰酸倦怠，血虚头晕，耳鸣，产后败血不净。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31665,益气增乳胶囊,yqzrjn,1,ZD03AAY0368010100036,与限定性别不符,益气养血，通络下乳。用于妇女产后气虚弱所致缺乳，症见：产后无乳或乳少，乳房柔软无胀感，乳汁清稀，面色无华，神疲乏力，食欲不振，脉细弦，舌淡少苔。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31392,盐酸阿扑吗啡舌下片,ysapmfsxp,9,XG04BEA048A003010101828; XG04BEA048A003010201828; XG04BEA048A003010301828; XG04BEA048A003010401828; XG04BEA048A003010501828; XG04BEA048A003010601828; XG04BEA048A003010701828; XG04BEA048A003010801828; XG04BEA048A003020101828,与限定性别不符,本品适用于治疗男性勃起功能障碍。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31393,盐酸环丙沙星栓,yshbsxs,3,XJ01MAH038D001010101183; XJ01MAH038D001010105763; XJ01MAH038D001010205763,与限定性别不符,抗菌类药，适用于细菌性阴道炎。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31394,盐酸环丙沙星阴道泡腾片,yshbsxydptp,7,XG01AAH038A009010101268; XG01AAH038A009010101792; XG01AAH038A009010105859; XG01AAH038A009020100067; XG01AAH038A009020101268; XG01AAH038A009020200067; XG01AAH038A009020300067,与限定性别不符,本品适用于细菌性阴道炎、淋菌性宫颈阴道炎。症见外阴或阴道瘙痒、灼痛；白带量多、有异味；阴道局部粘膜充血，出血、糜烂、溃疡。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31282,盐酸利托君片,ysltjp,7,XG02CAL073A001010100353; XG02CAL073A001010105843; XG02CAL073A001010179160; XG02CAL073A001010200353; XG02CAL073A001010300353; XG02CAL073A001010400353; XG02CAL073A001020105843,与限定性别不符,预防妊娠22周以后的早产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31283,盐酸利托君注射液,ysltjzsy,8,XG02CAL073B002010101453; XG02CAL073B002010179160; XG02CAL073B002010200353; XG02CAL073B002010201453; XG02CAL073B002010279160; XG02CAL073B002010300353; XG02CAL073B002010400353; XG02CAL073B002020179160,与限定性别不符,预防妊娠22周以后的早产。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31293,孕三烯酮胶囊,ysxtjn,1,XG03XAY228E001010100225,与限定性别不符,用于子宫内膜异位症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31397,鱼腥草素钠栓,yxcsns,9,XG02CCY209D001010100398; XG02CCY209D001010101792; XG02CCY209D001010102502; XG02CCY209D001010103767; XG02CCY209D001010103790; XG02CCY209D001010200398; XG02CCY209D001010203767; XG02CCY209D001010303767; XG02CCY209D001010403767,与限定性别不符,用于子宫颈糜烂。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31666,益香当红膏,yxdhg,2,ZZ01AAY0406010102491; ZZ01AAY0406010202491,与限定性别不符,益气养血，化瘀生新。本品用于妇女产后气血亏虚，夹有瘀血阻滞所致头晕眼花，神疲乏力，心悸气短或有恶露淋漓，小腹隐痛等症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31360,依西美坦胶囊,yxmtjn,3,XL02BGY096E001010104494; XL02BGY096E001010105822; XL02BGY096E001010205822,与限定性别不符,本品适用于雌孕激素受体阳性的绝经后晚期乳腺癌。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31361,依西美坦片,yxmtp,19,XL02BGY096A001010100107; XL02BGY096A001010100665; XL02BGY096A001010104021; XL02BGY096A001010105822; XL02BGY096A001010109568; XL02BGY096A001010178720; XL02BGY096A001010179537; XL02BGY096A001010181522; XL02BGY096A001010200107; XL02BGY096A001010204021; XL02BGY096A001010209568; XL02BGY096A001010278720; XL02BGY096A001010279537; XL02BGY096A001010281522; XL02BGY096A001010378720; XL02BGY096A001010379537; XL02BGY096A001010381522; XL02BGY096A001010479537; XL02BGY096A001010481522,与限定性别不符,本品适用于雌孕激素受体阳性的绝经后晚期乳腺癌。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31679,治带胶囊,zdjn,2,ZD02AAZ0274010180977; ZD02AAZ0274010280977,与限定性别不符,清利湿热，止带。用于湿热下注，赤带、白带、黄带。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31677,止带片,zdp,2,ZD03AAZ0168010100963; ZD03AAZ0168010101946,与限定性别不符,本品健脾祛湿，理气舒肝。用于湿阻碍脾，肝郁气滞，白带不止。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31680,治带片,zdp,12,ZD02AAZ0275010100716; ZD02AAZ0275010102891; ZD02AAZ0275010102986; ZD02AAZ0275010103109; ZD02AAZ0275010105421; ZD02AAZ0275010105792; ZD02AAZ0275010203109; ZD02AAZ0275010205792; ZD02AAZ0275010305792; ZD02AAZ0275010405792; ZD02AAZ0275010505792; ZD02AAZ0275020105421,与限定性别不符,清利湿热，止带。用于湿热下注，赤带、白带、黄带。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31678,止带消糜栓,zdxms,4,ZZ01AAZ0169010105115; ZZ01AAZ0169010205115; ZZ01AAZ0169010305115; ZZ01AAZ0169010405115,与限定性别不符,除湿解毒，杀虫止痒。用于带下量多，宫颈糜烂。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31682,左炔诺孕酮肠溶胶囊,zgnytcrjn,2,XG03ADZ061E005010104735; XG03ADZ061E005010204735,与限定性别不符,本品用于女性紧急避孕，即在无防护措施或其他避孕方法偶然失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31683,左炔诺孕酮肠溶片,zgnytcrp,5,XG03ADZ061A012020107360; XG03ADZ061A012020207360; XG03ADZ061A012030207360; XG03ADZ061A012030307360; XG03ADZ061A012030407360,与限定性别不符,用于女性紧急避孕，即在无防护措施或其他避孕方法失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31684,左炔诺孕酮滴丸,zgnytdw,1,XG03ADZ061H002020101554,与限定性别不符,用于女性紧急避孕，即在无防护措施或其他避孕方法失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31685,左炔诺孕酮分散片,zgnytfsp,2,XG03ADZ061A006010102281; XG03ADZ061A006020102281,与限定性别不符,用于女性紧急避孕，即在无防护措施或其他避孕方法失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31402,左炔诺孕酮炔雌醚片,zgnytgcmp,8,XG03AAZ064A001010101884; XG03AAZ064A001010201884; XG03AAZ064A001010301884; XG03AAZ064A001010401884; XG03AAZ064A001010501884; XG03AAZ064A017010100225; XG03AAZ064A017010200225; XG03AAZ064A017010300225,与限定性别不符,本品有抑制排卵的作用，为女用长效口服避孕药。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31401,左炔诺孕酮宫内节育系统,zgnytgnjyxt,1,XG02BAZ061Z007010279543,与限定性别不符,避孕，3年有效。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31686,左炔诺孕酮胶囊,zgnytjn,2,XG03ADZ061E001010101802; XG03ADZ061E001010201802,与限定性别不符,本品用于女性紧急避孕，即在无防护措施或其他避孕方法偶然失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31687,左炔诺孕酮片,zgnytp,26,XG03ADZ061A001010100088; XG03ADZ061A001010100200; XG03ADZ061A001010100225; XG03ADZ061A001010100800; XG03ADZ061A001010100803; XG03ADZ061A001010101161; XG03ADZ061A001010101884; XG03ADZ061A001010102129; XG03ADZ061A001010107599; XG03ADZ061A001010179164; XG03ADZ061A001010180465; XG03ADZ061A001010183802; XG03ADZ061A001010200088; XG03ADZ061A001010200803; XG03ADZ061A001010201884; XG03ADZ061A001010202129; XG03ADZ061A001010207599; XG03ADZ061A001010280465; XG03ADZ061A001020100088; XG03ADZ061A001020100225; XG03ADZ061A001020101161; XG03ADZ061A001020180465; XG03ADZ061A001020200088; XG03ADZ061A001020201161; XG03ADZ061A001020280465; XG03ADZ061A001020300225,与限定性别不符,用于女性紧急避孕，即在无防护措施或其他避孕方法失误时使用。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31398,制霉菌素阴道泡腾片,zmjsydptp,1,XG01AAZ098A009010100842,与限定性别不符,用于念珠菌性外阴阴道炎。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31675,珍母口服液,zmkfy,4,ZD01CAZ0068010105127; ZD01CAZ0068020105127; ZD01CAZ0068020205127; ZD01CAZ0068030105127,与限定性别不符,凉血止血，滋阴清热。用于月经过多、经期延长、功能性子宫出血及使用宫内节育器后的不规则出血。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31362,治糜康栓,zmks,4,ZD02BAZ0550010103560; ZD02BAZ0550010203560; ZD02BAZ0550010303560; ZD02BAZ0550010403560,与限定性别不符,本品用于湿热下注所致带下病，症见带下量多、色黄质稠、有臭味，或有大便干燥；细菌性阴道病、滴虫性阴道炎、宫颈糜烂见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31294,制霉素阴道栓,zmsyds,10,XG01AAZ028D003010100176; XG01AAZ028D003010101730; XG01AAZ028D003010104623; XG01AAZ028D003010200176; XG01AAZ028D003010201730; XG01AAZ028D003010204623; XG01AAZ028D003010301730; XG01AAZ028D003010304623; XG01AAZ028D003020100176; XG01AAZ028D003020200176,与限定性别不符,用于念珠菌性外阴阴道病。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31673,增乳膏,zrg,1,ZZ01AAZ0025010104879,与限定性别不符,补血活血，通络催乳。用于产后缺乳。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31674,增乳口服液,zrkfy,1,ZZ01AAZ0026010104481,与限定性别不符,益气，养血，增乳。用于产后缺乳，少乳。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31676,郑氏女金丹,zsnjd,3,ZD03AAZ0145010105615; ZD03AAZ0145010105693; ZD03AAZ0145010205693,与限定性别不符,补气养血，调经安胎。用于气血两亏，月经不调，腰膝疼痛，红崩白带，子宫寒冷。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31295,注射用醋酸地加瑞克,zsycsdjrk,3,XL02BXD329B001010182471; XL02BXD329B001010282471; XL02BXD329B001020182471,与限定性别不符,限需要雄激素去势治疗的前列腺癌患者。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31296,注射用缩宫素,zsysgs,7,XH01BBS194B001010101598; XH01BBS194B001020100526; XH01BBS194B001020101598; XH01BBS194B001020200526; XH01BBS194B014010100526; XH01BBS194B014010200526; XH01BBS194B014010300526,与限定性别不符,用于引产、催产、产后及流产后因宫缩乏力或缩复不良而引起的子宫出血；了解胎盘储备功能(催产素激惹试验)。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31297,注射用盐酸利托君,zsyysltj,5,XG02CAL073B001010100353; XG02CAL073B001010100792; XG02CAL073B001010105843; XG02CAL073B001010205843; XG02CAL073B001020100792,与限定性别不符,预防妊娠20周以后的早产。,女
第一批,2025-05-23,药品儿童专用,医疗-药品,32175,氨金黄敏颗粒,ajhmkl,15,XR05XXA173N001010101350; XR05XXA173N001010102120; XR05XXA173N001010103726; XR05XXA173N001010201350; XR05XXA173N001010202120; XR05XXA173N001010203726; XR05XXA173N001010301350; XR05XXA173N001010302120; XR05XXA173N001010303726; XR05XXA173N001010401350; XR05XXA173N001010403726; XR05XXA173N001010501350; XR05XXA173N001010503726; XR05XXA173N001020103698; XR05XXA173N001020203698,就诊人年龄超出儿童年龄限制,适用于缓解儿童普通感冒及流行感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32176,丁桂儿脐贴,dgeqt,7,ZZ01AAD0305010102959; ZZ01AAD0305010202959; ZZ01AAD0305010302959; ZZ01AAD0305010402959; ZZ01AAD0305010502959; ZZ01AAD0305010602959; ZZ01AAD0305010702959,就诊人年龄超出儿童年龄限制,健脾温中，散寒止泻。适用于小儿泄泻，腹痛的辅助治疗。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32177,儿童感热清丸,etgrqw,4,ZA07AAE0017010102986; ZA07AAE0017010202986; ZA07AAE0017010302986; ZA07AAE0017010402986,就诊人年龄超出儿童年龄限制,清心泻火，开窍宁神。用于外感高热，烦急不安。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32180,儿童回春颗粒,ethckl,8,ZA04DAE0018010105415; ZA04DAE0018010105430; ZA04DAE0018010205415; ZA04DAE0018010205430; ZA04DAE0018010305430; ZA04DAE0018020105415; ZA04DAE0018030105415; ZA04DAE0018030205415,就诊人年龄超出儿童年龄限制,清热解毒，透表豁痰。用于急性惊风，伤寒发热，临夜发烧，小便带血，麻疹隐现不出引起的身热咳嗽；赤痢、水泻、食积、腹痛。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32181,儿童回春丸,ethcw,1,ZA04DAE0019010105415,就诊人年龄超出儿童年龄限制,清热解毒，透表豁痰。用于急性惊风，伤寒发热，临夜发烧，小便带血，麻疹隐现不出而引起身热咳嗽；赤痢、水泻、食积、腹痛。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32178,儿童咳颗粒,etkkl,1,ZA06CAE0020010101748,就诊人年龄超出儿童年龄限制,本品清热润肺，宣降肺气，祛痰止咳。用于咳嗽气喘，吐痰黄稠或咳痰不爽，咽干喉痛，急慢性气管炎。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32179,儿童咳液,etky,8,ZA06CAE0021010100169; ZA06CAE0021010104745; ZA06CAE0021010200169; ZA06CAE0021010204745; ZA06CAE0021020104745; ZA06CAE0021030104745; ZA06CAE0021030204745; ZA06CAE0021040104745,就诊人年龄超出儿童年龄限制,清热润肺，祛痰止咳。用于咳嗽气喘，吐痰黄稠或咳痰不爽，咽干喉痛。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32078,儿童清肺口服液,etqfkfy,2,ZA04CAE0023010100166; ZA04CAE0023010200166,参保人年龄超出儿童年龄限制,清肺，化痰，止咳。用于面赤身热，咳嗽，痰多，咽痛。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32183,儿童清肺丸,etqfw,5,ZA04CAE0024010100166; ZA04CAE0024010100398; ZA04CAE0024010102572; ZA04CAE0024010102575; ZA04CAE0024010200398,就诊人年龄超出儿童年龄限制,清肺，解表，化痰，止嗽。用于小儿风寒外束、肺经痰热所致的面赤身热、咳嗽气促、痰多黏稠、咽痛声哑。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32184,儿童清热口服液,etqrkfy,1,ZA04BAE0026010100169,就诊人年龄超出儿童年龄限制,清热解毒，解肌退热。用于内蕴伏热，外感时邪引起的高热不退，烦燥不安，咽喉肿痛，大便秘结等症。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32079,儿童清咽解热口服液,etqyjrkfy,5,ZF03AAE0027010102281; ZF03AAE0027010202281; ZF03AAE0027010302281; ZF03AAE0027020102281; ZF03AAE0027020202281,参保人年龄超出儿童年龄限制,清热解毒，消肿利咽。用于小儿急性咽炎（急喉痹）属肺胃实热证，证见：发热，咽痛，咽部充血，或咳嗽，口渴等。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32182,儿童七珍丸,etqzw,2,ZA01CAE0022010100166; ZA01CAE0022020105415,就诊人年龄超出儿童年龄限制,祛风镇惊，消食导滞。用于停食停乳引起：肚胀腹硬，呕吐乳食，大便秘结，痰热惊风。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32185,复方小儿退热栓,ffxetrs,14,ZA04DAF0676010100398; ZA04DAF0676010101944; ZA04DAF0676010103790; ZA04DAF0676010105341; ZA04DAF0676010200398; ZA04DAF0676010203790; ZA04DAF0676010205341; ZA04DAF0676010305341; ZA04DAF0676020101944; ZA04DAF0676020103790; ZA04DAF0676020203790; ZA04DAF0676020303790; ZA04DAF0676030103790; ZA04DAF0676030203790,就诊人年龄超出儿童年龄限制,解热镇痛，利咽解毒，祛痰定惊。本品用于小儿发热，惊悸不安，咽喉肿痛及肺热痰多咳嗽。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32082,荆肤止痒颗粒,jfzykl,3,ZH01AAJ0547010102144; ZH01AAJ0547010202144; ZH01AAJ0547010302144,参保人年龄超出儿童年龄限制,祛风、除湿，清热解毒、止痒。用于儿童风热型或湿热型丘疹性荨麻疹。症状可见脓疱疮、风团、水疱、瘙痒等。疗程3至6天。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32080,健脾止泻宁颗粒,jpzxnkl,4,ZA09ABJ0145010101061; ZA09ABJ0145010201061; ZA09ABJ0145010301061; ZA09ABJ0145010401061,参保人年龄超出儿童年龄限制,清热除湿，健脾止泻。用于小儿脾虚湿热所致的腹泻。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32186,减味小儿化痰散,jwxehts,2,ZA06CAJ0075010104616; ZA06CAJ0075010204616,就诊人年龄超出儿童年龄限制,散风化痰。用于小儿感冒风邪，咳嗽气急，身热痰壅。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32081,金振口服液,jzkfy,4,ZA06CAJ0512010101463; ZA06CAJ0512010201463; ZA06CAJ0512010301463; ZA06CAJ0512010401463,参保人年龄超出儿童年龄限制,清热解毒，祛痰止咳。用于小儿急性支气管炎符合痰热咳嗽者，表现为发热、咳嗽、咳吐黄痰、咳吐不爽、舌质红、苔黄腻等。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32187,枯草杆菌二联活菌颗粒,kcgjelhjkl,5,XA07FAK084N001010100041; XA07FAK084N001010200041; XA07FAK084N001010300041; XA07FAK084N001010400041; XA07FAK084N001010500041,就诊人年龄超出儿童年龄限制,适用于因肠道菌群失调引起的腹泻、便秘、胀气、消化不良等。本品为儿童专用药品。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32083,牛黄抱龙丸,nhblw,9,ZA15BAN0105010100166; ZA15BAN0105010101352; ZA15BAN0105010102884; ZA15BAN0105010103285; ZA15BAN0105010103391; ZA15BAN0105010103879; ZA15BAN0105010104082; ZA15BAN0105010104584; ZA15BAN0105010104850,参保人年龄超出儿童年龄限制,清热镇惊，祛风化痰。用于小儿风痰壅盛所致的惊风，症见高热神昏、惊风抽搐。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32084,清宣止咳颗粒,qxzkkl,4,ZA06BCQ0509010101493; ZA06BCQ0509010201493; ZA06BCQ0509010301493; ZA06BCQ0509010401493,参保人年龄超出儿童年龄限制,疏风清热，宣肺止咳。用于小儿外感风热咳嗽，证见：咳嗽，咯痰，发热或鼻塞，流涕，微恶风寒，咽红或痛。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32188,山白消食合剂,sbxshj,2,ZZ01AAS0199010101286; ZZ01AAS0199020101286,就诊人年龄超出儿童年龄限制,健脾和胃，消食化滞。用于小儿厌食症，表现为面色无华，不思饮食，脘腹胀满，食后呕吐，大便不调。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32085,天黄猴枣散,thhzs,4,ZA15DAT0065010100288; ZA15DAT0065010100398; ZA15DAT0065010105156; ZA15DAT0065020100398,参保人年龄超出儿童年龄限制,除痰定惊，祛风清热。用于小儿痰多咳喘，发热不退，惊悸不眠等症。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32189,太子金颗粒,tzjkl,2,ZZ01AAT0010010103082; ZZ01AAT0010010203082,就诊人年龄超出儿童年龄限制,健脾和胃，消积增食。用于小儿乳食內滞所致厌食，消化不良，脘腹胀满，面色无华，形体消瘦，大便失调的辅助治疗。,
第一批,2025-05-23,药品儿童专用,医疗-药品,32086,五粒回春丸,wlhcw,6,ZA01BAW0281010100169; ZA01BAW0281010102410; ZA01BAW0281010105630; ZA01BAW0281010105892; ZA01BAW0281010105893; ZA01BAW0281010202410,参保人年龄超出儿童年龄限制,宣肺透表，清热解毒。用于小儿瘟毒引起的头痛高烧，流涕多泪，咳嗽气促，烦躁口渴，麻疹初期，疹出不透。,
